Parent_1_Crop,Parent_2_Crop,Hybrid_Crop,Parent_1_A,Parent_1_T,Parent_1_G,Parent_1_C,Parent_2_A,Parent_2_T,Parent_2_G,Parent_2_C,GC_Content (%),SNP_Count,Yield_Potential (kg/ha),Drought_Resistance_Score,Disease_Resistance_Score
Finger Millet,Pearl Millet,Amaranth,0.07087782927329146,0.26323704853277674,0.37931543869855955,0.28656968349537226,0.6837645552882079,0.024014166740275695,0.14937705887564087,0.14284421909587558,67.54487031622628,4788,4033.67783281276,7,2
Pearl Millet,Pearl Millet,Buckwheat,0.09152026426098463,0.026186921275345998,0.5959412948542794,0.2863515196093899,0.13589482324104418,0.28343126126305307,0.0882943055981775,0.4923796098977254,67.15493179836545,1319,1918.6197522336688,5,7
Finger Millet,Finger Millet,Sorghum,0.05808538872111712,0.08393210088587133,0.7874520130177677,0.07053049737524386,0.5054600482666842,0.35238513588175363,0.12172045277693674,0.02043436307462553,31.132751366378333,1042,2761.3774245925397,7,7
Pearl Millet,Pearl Millet,Quinoa,0.0748851852370823,0.5158819197733642,0.3369844046689302,0.07224849032062328,0.17079804947303012,0.10657414921083194,0.37183466140809135,0.3507931399080465,34.3974474531062,4347,3222.3190090576277,9,3
Finger Millet,Finger Millet,Amaranth,0.2969484956915165,0.3669616887783426,0.02732231315036476,0.3087675023797761,0.09263644785414553,0.33464210606228006,0.5725835245383195,0.00013792154525484493,53.09688459576435,2346,3007.59819423034,1,6
Pearl Millet,Teff,Buckwheat,0.4724158969141468,0.08754953937656842,0.15013265377804763,0.2899019099312371,0.4722747595681509,0.03249421327706467,0.3593758613281671,0.13585516582661736,31.089655700420636,2449,2498.050682907508,10,1
Pearl Millet,Pearl Millet,Buckwheat,0.3174900981224517,0.13988346455547526,0.29752316699667664,0.2451032703253964,0.05794767394601561,0.22190684131789368,0.44320009114190306,0.2769453935941876,36.314232839611606,4456,4299.272856902346,9,3
Teff,Teff,Teff,0.1828990331755512,0.14528220377305728,0.3116956343893334,0.36012312866205826,0.006158092055176504,0.4904334721253139,0.1393615144373351,0.3640469213821745,48.62340581856044,2546,3361.486920486251,10,6
Finger Millet,Teff,Sorghum,0.09746288388744348,0.29110027084659706,0.31336318243106687,0.2980736628348927,0.3188911730208549,0.1740095072595922,0.3489198070364303,0.1581795126831225,57.890194354062146,3397,2601.823847491894,4,6
Pearl Millet,Finger Millet,Buckwheat,0.13715750572898874,0.5487606458753821,0.20980412739871437,0.10427772099691479,0.008914190996574731,0.463026779578542,0.2421381431291186,0.2859208862957647,67.71017125373942,4772,1122.3746349990154,7,5
Finger Millet,Teff,Teff,0.6803906508367638,0.21506042152428292,0.08561514066433287,0.01893378697462037,0.3191054113247045,0.06399719521492181,0.24792182888303452,0.36897556457733927,37.72347680011112,2604,1690.3768658559843,8,10
Finger Millet,Teff,Pearl Millet,0.04578395681823597,0.2610273549726909,0.28624401947957995,0.40694466872949314,0.046622135821173284,0.4577635762496467,0.4259973466121973,0.06961694131698277,46.21448396353544,4512,3964.132768240126,8,6
Pearl Millet,Finger Millet,Sorghum,0.2576391208661993,0.11397268923588527,0.1495288475211411,0.4788593423767744,0.2327033670197598,0.011845602383018551,0.4085987717446314,0.3468522588525904,36.4651857292076,4737,3791.210154853557,4,3
Teff,Finger Millet,Finger Millet,0.24477341887083326,0.28401025993429924,0.20611216029521567,0.26510416089965183,0.09958159666719878,0.6913916325097993,0.0890094300791196,0.12001734074388239,52.83538115146513,4550,4380.866934392182,2,3
Finger Millet,Finger Millet,Amaranth,0.030573449124955788,0.5603687476249863,0.06519015915390484,0.343867644096153,0.17022461458238414,0.030616830816474337,0.38421815977471047,0.4149403948264311,63.4456469673366,2799,1196.0192415573133,1,7
Pearl Millet,Pearl Millet,Teff,0.26798777481591074,0.1191179382288259,0.09106769386817877,0.5218265930870846,0.1348203912057352,0.19830786597260408,0.6493307038046762,0.017541039016984523,69.71255389072007,1956,4171.043395244047,3,2
Teff,Finger Millet,Buckwheat,0.5615627239798208,0.20560986793603794,0.08386063049266876,0.14896677759147256,0.04903542191266622,0.4270470854383005,0.08837088269774297,0.4355466099512902,66.59519721964793,3908,1647.141668350811,8,1
Finger Millet,Pearl Millet,Amaranth,0.042028519785818556,0.0015642075066563932,0.5847229623906015,0.37168431031692356,0.0594257879018141,0.34703932023678735,0.1964927635124256,0.3970421283489731,37.503062009499715,2719,1047.4290455738812,1,9
Teff,Teff,Teff,0.031796207975062045,0.4018749649047909,0.43253464533649705,0.13379418178364985,0.13925463407497524,0.4562209788775382,0.0838701385508659,0.3206542484966207,61.63409405124402,4432,2920.6558000179875,8,7
Teff,Pearl Millet,Amaranth,0.5919180233410037,0.20081193345597,0.0296632123827345,0.17760683082029172,0.25341159668480123,0.21612492849436962,0.43856910386438175,0.09189437095644734,52.838604832776916,3927,2902.9903737981895,1,8
Teff,Finger Millet,Quinoa,0.050077757899403934,0.14778344447633115,0.009774430016538558,0.7923643676077263,0.04665867300542471,0.7470691208583191,0.01776928425884193,0.1885029218774142,39.448009416375314,4866,4147.202345462546,10,8
Finger Millet,Teff,Quinoa,0.297124355166464,0.02881367895467966,0.3687181786694991,0.30534378720935723,0.6036244746410631,0.2903397598362339,0.06556692239192517,0.04046884313077791,31.32326553656641,3578,3936.2127909443666,3,8
Teff,Teff,Sorghum,0.2687921038178577,0.046634048809731786,0.47359597357699895,0.21097787379541158,0.052248398002686956,0.12376728712405546,0.6804443205548717,0.14353999431838596,30.651873489059373,4593,1053.057648157182,9,2
Pearl Millet,Finger Millet,Quinoa,0.2547773867677142,0.2215286783707762,0.4313376253763994,0.09235630948511021,0.4247730919257231,0.2976932568532788,0.07078764981621245,0.20674600140478572,58.9053450912361,2811,4369.9417980260205,8,3
Teff,Pearl Millet,Amaranth,0.5730048975606508,0.11818171081357186,0.15666526177573345,0.15214812985004383,0.0057223433632699345,0.14326858906937576,0.4814959969714752,0.3695130705958792,66.96455011671466,2884,2177.034083161624,9,9
Pearl Millet,Pearl Millet,Pearl Millet,0.35103116445969945,0.32907650153200135,0.05157279843529573,0.26831953557300325,0.25966955267299346,0.6454616847586235,0.08901980459926938,0.005848957969113614,40.91288973509991,652,2779.159474106908,1,1
Pearl Millet,Finger Millet,Finger Millet,0.30996866460397277,0.01269458821979877,0.4708241654343036,0.20651258174192502,0.3095104255223742,0.13555443509000775,0.1305492723598813,0.4243858670277367,35.96546350167821,4169,2976.481590712193,10,6
Pearl Millet,Pearl Millet,Finger Millet,0.26324770303815637,0.5983114346921085,0.025598464105671275,0.11284239816406394,0.46135980690555545,0.09676475994519615,0.10445757225565393,0.3374178608935945,63.548152277355456,4039,2793.2283898992187,2,6
Teff,Teff,Amaranth,0.0009736111671268555,0.9020290752350423,0.02736639895210502,0.06963091464572574,0.3893095969648073,0.2533158430138643,0.29108565280822335,0.06628890721310514,66.4367691269671,4876,1518.3997347561813,3,6
Pearl Millet,Pearl Millet,Finger Millet,0.08693495585038606,0.6275388012346237,0.18706158073228293,0.0984646621827075,0.2798764460158301,0.3788633259488673,0.08227442806722568,0.25898579996807675,40.12199907150726,2836,1967.7766224375155,7,3
Teff,Finger Millet,Fonio,0.17039615595198387,0.025569681885380183,0.11067808222775566,0.6933560799348802,0.14516195575011864,0.7361471087059773,0.10260500647867556,0.016085929065228623,32.94709150158552,4192,2536.288324364107,6,6
Pearl Millet,Teff,Finger Millet,0.07218463631946483,0.8918617454116683,0.028398377701224675,0.007555240567642285,0.25750265391507454,0.12143683419659862,0.47268439610609175,0.14837611578223509,49.49711789807799,770,3028.0775377887267,3,6
Teff,Finger Millet,Quinoa,0.7075326393714589,0.1482522024667648,0.09843588396121235,0.045779274200563866,0.44321836599665904,0.11584707354956818,0.1302983307107599,0.31063622974301286,62.47125662008627,4151,2067.9132585486323,2,6
Pearl Millet,Pearl Millet,Quinoa,0.11445397059653994,0.16109363976349303,0.6818999658910618,0.04255242374890503,0.6534585859421358,0.08760835098376327,0.14285240581376785,0.11608065726033291,43.82917111474318,3947,3064.892949490464,1,4
Pearl Millet,Finger Millet,Fonio,0.15765659333237286,0.5507346250744636,0.0009706476842116431,0.29063813390895193,0.09631701881238604,0.102477310678522,0.635371840806855,0.16583382970223698,60.69248663481219,2322,1492.9781270777758,6,10
Pearl Millet,Pearl Millet,Fonio,0.6352760059635388,0.05595563634191839,0.188193309072887,0.12057504862165573,0.19566144315752396,0.5614732078057659,0.036231312987188735,0.20663403604952157,36.01908235742663,993,2235.689167653029,4,3
Pearl Millet,Finger Millet,Pearl Millet,0.4621755664177148,0.13286956702589195,0.2675055171739637,0.13744934938242953,0.4336932822669252,0.08068760017223259,0.3225016236369894,0.1631174939238529,69.82313803596772,1236,3408.7346840926166,8,8
Finger Millet,Teff,Pearl Millet,0.24980280011426786,0.033772002148132856,0.028917433261922778,0.6875077644756765,0.1483151915365159,0.5394891164877101,0.1548024253621734,0.1573932666136007,41.333143733453234,781,2500.972059052155,6,9
Teff,Finger Millet,Amaranth,0.3433843878244946,0.14986723220076315,0.21025822107914352,0.2964901588955987,0.34355064033073823,0.45011098194108873,0.016577101701011468,0.18976127602716156,66.98202564217013,2027,3688.373640232912,6,6
Finger Millet,Finger Millet,Amaranth,0.030615913015681395,0.32163604278184593,0.09669235970857926,0.5510556844938935,0.08535596685329493,0.5188818759621477,0.2497355438138426,0.14602661337071468,57.24435343390833,3781,3794.4292292007976,3,7
Pearl Millet,Teff,Sorghum,0.07859008874456086,0.4079227740009954,0.05298438312952806,0.4605027541249156,0.053436333700616956,0.08494315646539807,0.8509573914463312,0.010663118387653658,65.5166066973334,1500,4701.842924128046,10,9
Finger Millet,Finger Millet,Finger Millet,0.23765520847669194,0.2510084092331798,0.14451704800404633,0.366819334286082,0.20739157501045663,0.60082672998722,0.044306556418501016,0.14747513858382244,38.080002414284316,3368,1389.0387580379775,2,7
Teff,Teff,Finger Millet,0.06347737007865369,0.5406494440258094,0.02904196929100963,0.36683121660452733,0.19416154908052605,0.1436104540143736,0.3393092920365098,0.32291870486859053,61.196357497033524,4529,3359.8538981076904,7,5
Finger Millet,Finger Millet,Fonio,0.19693565932601753,0.05427258862757462,0.5161769155149435,0.23261483653146436,0.10811843004763592,0.0679408827512159,0.5153100432330917,0.30863064396805656,33.953652176014224,2460,1970.56397269837,1,7
Teff,Pearl Millet,Buckwheat,0.6032890496197537,0.06418591247203764,0.19303736370627272,0.139487674201936,0.5255278211891886,0.17763319541448488,0.07755090163874909,0.21928808175757747,30.54627102989493,4006,3172.237515260207,8,2
Finger Millet,Teff,Fonio,0.3155993026626937,0.45148479536547403,0.07004840035339636,0.162867501618436,0.04058211034828506,0.377555687478196,0.2055513893767568,0.37631081279676215,60.31004159382487,4197,1462.9976589436549,7,8
Pearl Millet,Teff,Buckwheat,0.24572343412801453,0.11991043184698742,0.13931677790022648,0.4950493561247717,0.02978178959121091,0.5121868625213719,0.18627347402465386,0.27175787386276334,49.65667802600714,2380,4519.495576419333,5,5
Pearl Millet,Finger Millet,Fonio,0.1679180052677659,0.40213248028366544,0.3662076253851409,0.06374188906342765,0.007568750568473951,0.08714923428017557,0.2449750225821973,0.6603069925691532,35.82161567818759,3989,2356.1732340484023,1,3
Teff,Pearl Millet,Sorghum,0.3786311371749637,0.1329295986745862,0.28922131909380017,0.19921794505665,0.4298913812751625,0.09247249527050566,0.13440653177082884,0.3432295916835029,64.95750572167745,1859,1787.2260791118106,10,4
Teff,Pearl Millet,Pearl Millet,0.5952316951288277,0.2734889024274882,0.02183937318973213,0.10944002925395205,0.3665960303957596,0.06263974591206643,0.2304516692365802,0.34031255445559394,51.81646565629883,1998,4936.806885845311,6,3
Pearl Millet,Pearl Millet,Quinoa,0.15001057054185177,0.6244038937794631,0.16264473284424524,0.06294080283443991,0.5356779900079119,0.24413059424071223,0.052274061219053966,0.16791735453232182,69.80282541934007,1415,3183.28357951755,4,5
Finger Millet,Finger Millet,Buckwheat,0.03433872733942124,0.018447048122953735,0.36705758435793506,0.5801566401796899,0.4990957162521101,0.16586004865952483,0.30994378297772807,0.025100452110636908,41.866002038165334,2214,1189.4566324659932,9,3
Teff,Pearl Millet,Buckwheat,0.10021503918487744,0.3579170331583422,0.4919405172405248,0.049927410416255716,0.03618883772535167,0.27447391531432025,0.3560578358492595,0.3332794111110687,42.9758742008966,1993,1686.6842486452654,9,10
Teff,Pearl Millet,Amaranth,0.11527300241330375,0.42350156797169514,0.00581969531684692,0.45540573429815423,0.23143424696686218,0.4089260180734804,0.06255938900442182,0.2970803459552355,37.426463779615965,3980,2076.8554266814936,5,3
Pearl Millet,Finger Millet,Quinoa,0.10925907569242252,0.2318050877764837,0.4305752073658772,0.22836062916521652,0.018304237915701533,0.006098556448182788,0.936571929291311,0.039025276344804634,36.22272940163089,4645,2040.7629593789704,2,7
Teff,Pearl Millet,Fonio,0.06417526755166249,0.6330760543481255,0.11986329474096155,0.18288538335925042,0.06859866913879478,0.38157380064168567,0.47247517275128736,0.07735235746823219,66.68782262113689,2256,2345.6761874048116,7,1
Finger Millet,Pearl Millet,Finger Millet,0.08180363902096034,0.41662461427595204,0.21338449335834997,0.28818725334473766,0.23634224656121916,0.09725713091517621,0.23453264443294294,0.43186797809066163,31.06189972401568,3514,2582.1270709124833,8,2
Finger Millet,Finger Millet,Pearl Millet,0.06548967116410401,0.7218424882664813,0.10420231027858161,0.1084655302908329,0.8318803699464444,0.04619393639420047,0.0823871465511002,0.03953854710825491,34.322747294016004,1896,3696.6232588295566,1,10
Teff,Pearl Millet,Fonio,0.05745955248062209,0.3858983250108097,0.2702837065290067,0.28635841597956163,0.08222025419301654,0.6131175296682416,0.26990132120369187,0.034760894935050024,59.05645444256481,2968,2644.2625460673567,7,6
Pearl Millet,Teff,Finger Millet,0.09085370931661797,0.4683448194263995,0.1475457856758078,0.2932556855811746,0.11448502711395683,0.17834117807824967,0.5610479784906998,0.14612581631709376,50.92516755668083,1216,2916.8029356271354,2,4
Pearl Millet,Teff,Fonio,0.04962920516886476,0.5936770981629516,0.13235303643790416,0.22434066023027954,0.31166720535843606,0.0029879870448779235,0.47448867251104226,0.2108561350856437,59.55065429816771,2796,3919.520678075575,10,7
Pearl Millet,Pearl Millet,Quinoa,0.12827835170240806,0.21130751398211975,0.4176540898931062,0.24276004442236596,0.3177605867216306,0.4555130305466434,0.13949135426223366,0.08723502846949246,69.27453055139586,536,1095.256161012412,8,9
Finger Millet,Pearl Millet,Quinoa,0.38021275225608603,0.11422854444199732,0.4921754213993638,0.01338328190255286,0.40999721526370153,0.43120806017874747,0.005497277745292234,0.15329744681225882,34.61759446163627,1135,2605.913352468614,1,6
Teff,Finger Millet,Quinoa,0.29631401669236684,0.08722424894541961,0.08165758830711803,0.5348041460550956,0.08077315084298455,0.5255528416641326,0.1352686365767261,0.25840537091615684,33.10452440389142,2891,2997.7614541698886,8,6
Finger Millet,Finger Millet,Fonio,0.15529427711693888,0.314919596269685,0.02783479842731858,0.5019513281860577,0.12160709515370857,0.009980793668535584,0.32256565196238635,0.5458464592153696,59.5162035645515,4311,4802.228048879209,5,6
Teff,Finger Millet,Sorghum,0.14063899735010815,0.26913977083099533,0.5040993059926555,0.08612192582624098,0.0019131093329371525,0.34444026397373095,0.5822377227208587,0.07140890397247311,32.28683030328493,2569,3954.510525129643,4,7
Finger Millet,Pearl Millet,Finger Millet,0.6693547074931078,0.10021191518748405,0.09074732727605872,0.1396860500433495,0.5133122960500548,0.3073618295993303,0.05823450028533061,0.12109137406528421,57.469229848010954,1106,1246.034416602297,1,8
Pearl Millet,Finger Millet,Finger Millet,0.3812909674354462,0.11277836069235818,0.30160061811523,0.2043300537569656,0.010112985365201022,0.03440495449588673,0.5170502696916238,0.4384317904472884,41.19162979864258,593,4723.449063859727,7,6
Teff,Finger Millet,Pearl Millet,0.7493001363198739,0.09330943260362659,0.12291868314801624,0.034471747928483266,0.03384097344002827,0.3073343143242187,0.48941576671181825,0.16940894552393465,67.79487666019028,3005,4570.058104643356,8,9
Teff,Finger Millet,Finger Millet,0.4857944706138428,0.04581572932884778,0.1197345401821919,0.3486552598751174,0.2108888470485724,0.12697563881810892,0.5936359503176888,0.06849956381563005,64.18581097789502,3040,2998.731802258442,9,4
Pearl Millet,Teff,Buckwheat,0.37133344239088084,0.4140941299950869,0.10181039778339773,0.11276202983063457,0.3677377749442967,0.06071277637683215,0.5120674989386838,0.0594819497401875,45.85545986184536,3572,2664.0244630182206,7,7
Teff,Pearl Millet,Buckwheat,0.154269151237036,0.8064854711608983,0.006986724738083122,0.032258652863982586,0.24846369771761775,0.1289196214903743,0.5143526906316582,0.10826399016034975,33.52071378560313,2313,4391.279983429098,8,1
Finger Millet,Pearl Millet,Quinoa,0.02954417683764042,0.14094470972429252,0.39815362178652464,0.4313574916515424,0.06363232473754143,0.17977705311198933,0.04417706787140818,0.7124135542790611,37.20144114553471,4646,4796.96693304451,3,6
Pearl Millet,Finger Millet,Amaranth,0.3228898243467942,0.14917775572522254,0.15212311737431436,0.375809302553669,0.005690488358691406,0.07851620634229813,0.48314640566258843,0.4326468996364219,67.30355078724922,766,4979.372461082071,8,9
Finger Millet,Finger Millet,Buckwheat,0.18916685119545604,0.45027396283480553,0.12897492266992125,0.2315842632998172,0.07717919942068881,0.10783685948836573,0.13304263657020388,0.6819413045207415,46.559083307780114,1528,2318.912235665821,4,4
Teff,Finger Millet,Fonio,0.6247778409306535,0.03750663147322853,0.3225104338647732,0.015205093731344727,0.3666539152031004,0.02142045687266356,0.08385407199000545,0.5280715559342304,50.278133867667805,3962,4513.986623126701,9,5
Teff,Finger Millet,Amaranth,0.04355355993371407,0.37038359034968993,0.24114736789232513,0.34491548182427084,0.2052994595089219,0.18351271987470905,0.160606045448995,0.4505817751673741,56.43607265065818,1667,3069.1863077569697,10,5
Teff,Teff,Quinoa,0.059990243265654226,0.5253694839957401,0.32829952865348727,0.0863407440851183,0.443368951230404,0.3518809783048209,0.16186283352315728,0.04288723694161781,61.58164689007282,772,3964.274936139269,10,6
Pearl Millet,Teff,Buckwheat,0.07294046784590218,0.43720416031403864,0.015248844422532298,0.47460652741752674,0.015039208765257779,0.3022414782371193,0.44616631111859867,0.23655300187902426,34.00470887455224,3511,3586.6840124533855,7,3
Finger Millet,Finger Millet,Finger Millet,0.17415841161850953,0.4604909520586784,0.02105539702252712,0.34429523930028505,0.5777141976072246,0.2943566362584269,0.045220977225663025,0.08270818890868548,54.398658436390974,1835,1963.4267197528302,7,2
Teff,Teff,Finger Millet,0.13135336013789894,0.704740820659497,0.0742371334558339,0.08966868574677005,0.39525463095834734,0.29581917277371345,0.10091310458050551,0.20801309168743365,35.202567483369634,2269,1429.4106109507063,7,3
Pearl Millet,Teff,Sorghum,0.16050460824726456,0.5338175199650164,0.04826318486101472,0.25741468692670416,0.07694334635387125,0.34942128867671435,0.3719488089359218,0.2016865560334926,38.861078834469055,2884,2853.494351090392,5,10
Finger Millet,Pearl Millet,Quinoa,0.3684594810506951,0.10142060230990377,0.029761603493295742,0.5003583131461053,0.39420891452369033,0.18564154488423784,0.1760284467936326,0.2441210937984392,31.87497774486642,4715,3011.372136542731,1,8
Pearl Millet,Finger Millet,Quinoa,0.34821421098315475,0.5763619025815669,0.06001981047875277,0.015404075956525608,0.1109855223769357,0.18910125972901784,0.02937427942030381,0.6705389384737428,33.79600022848063,854,1463.9855407936602,1,1
Pearl Millet,Teff,Finger Millet,0.2816635253129883,0.3020988903832036,0.24436711087945273,0.17187047342435535,0.06041455720198741,0.3227398496413134,0.1517493956927704,0.4650961974639289,33.69916290475264,3304,3171.505987786659,5,7
Pearl Millet,Teff,Fonio,0.14572594467175654,0.10179029628803855,0.07356961137249396,0.678914147667711,0.0455119773877181,0.09936297417390673,0.40847756688665765,0.4466474815517176,63.234341722604945,3553,3170.352905469006,7,4
Pearl Millet,Finger Millet,Pearl Millet,0.10920402596901631,0.47385868227730904,0.32623381902947196,0.0907034727242026,0.09735890957881525,0.2103018852263022,0.5898496194235244,0.10248958577135821,30.473226912960442,3955,1231.8651334686663,9,4
Finger Millet,Finger Millet,Pearl Millet,0.09199834287131732,0.7051920884734555,0.14705684980506287,0.05575271885016425,0.1500040489334546,0.09697555455573988,0.2071334498941575,0.5458869466166479,62.469036094921776,1493,3519.9292526740423,3,10
Pearl Millet,Pearl Millet,Teff,0.35920860212552685,0.36906106691722745,0.2602947906916468,0.011435540265598716,0.08352289301259555,0.0529538112711909,0.4923716794216839,0.3711516162945295,33.649263252468195,1445,2182.6680578382675,7,7
Teff,Teff,Sorghum,0.22947449466335096,0.339655537119067,0.07557471324022026,0.35529525497736164,0.14212735441004096,0.02292092695483354,0.4476479594368709,0.38730375919825466,54.46906656950891,4382,1014.145481244082,5,10
Pearl Millet,Finger Millet,Quinoa,0.025795141869741408,0.15669924734926727,0.40150729689224446,0.41599831388874686,0.01949788205364392,0.3121360837821007,0.5376111795579764,0.130754854606279,49.654731921136445,1814,1306.486842006155,3,5
Pearl Millet,Teff,Fonio,0.0892842367560018,0.10056544147111952,0.6896828117275705,0.1204675100453082,0.5015498847416643,0.09145262601222912,0.3596562438826536,0.04734124536345314,61.75534857484246,4778,3524.738168995507,2,3
Finger Millet,Finger Millet,Pearl Millet,0.15524223879506038,0.2732289083416862,0.23753630232429795,0.33399255053895543,0.004086736743990205,0.01899605530133198,0.3489372462916933,0.6279799616629845,48.45711922568783,1418,4003.6465889093765,7,7
Finger Millet,Pearl Millet,Fonio,0.5598650637818217,0.02617197974143503,0.05252797403622915,0.3614349824405142,0.26141511046316995,0.0668741010051173,0.6100161380009543,0.06169465053075844,67.61457178473,619,4352.2429333597265,3,3
Finger Millet,Pearl Millet,Teff,0.1546534718203494,0.04987646430734942,0.6032276869443361,0.19224237692796495,0.47619547007918467,0.07210996638109719,0.12342969645505888,0.3282648670846593,49.42282156364982,4008,3665.289767709547,2,9
Pearl Millet,Teff,Quinoa,0.6622692598926333,0.18900100649424748,0.09355324157317851,0.05517649203994069,0.3194834421285313,0.08637007860035954,0.10437826705357549,0.48976821221753375,38.36743073816148,2449,1092.4192298888279,6,10
